file,sample,subSample,speed_mph,disk_in,closeDisk,basket,scanStart,roughness,resPercent,resPercentFull
T1P1_20191015_102639,1,1,3,3,-6,1,1001,39.7764138487482,24.2516556291391,39.040293040293
T1P1_20191015_102639,1,2,3,3,-6,1,2318,39.0968535784842,21.9801324503311,38.0520960520961
T1P1_20191015_102639,1,3,3,3,-6,1,3635,41.1049762728914,14.9545884578997,30.4940984940985
T1P1_20191015_102639,1,4,3,3,-6,1,4952,42.2945064097848,13.5941343424787,22.8388278388278
T1P1_20191015_102639,1,5,3,3,-6,1,6269,39.7639286794068,18.0028382213813,32.2120472120472
T1P1_20191015_102639,1,6,3,3,-6,1,7586,41.7800461839582,18.1892147587512,33.5042735042735
T1P1_20191015_102639,1,7,3,3,-6,1,8903,42.8229917720355,17.79848628193,29.8701668701669
T1P1_20191015_102639,1,8,3,3,-6,1,10220,45.4641996225534,13.8429517502365,20.1115181115181
T2P1_20191015_111234,1,1,6.6,3,-6,1,1001,43.5978256771269,14.3509933774834,24.5380545380545
T2P1_20191015_111234,1,2,6.6,3,-6,1,2126,44.1225603112374,12.9091769157994,20.0647130647131
T2P1_20191015_111234,1,3,6.6,3,-6,1,3251,46.6293542043083,11.4777672658467,17.1969881969882
T2P1_20191015_111234,1,4,6.6,3,-6,1,4376,44.1669616448765,11.3188268684957,17.6231176231176
T2P1_20191015_111234,1,5,6.6,3,-6,1,5501,47.5520497551784,13.5591296121097,22.0838420838421
T2P1_20191015_111234,1,6,6.6,3,-6,1,6626,44.0693731779095,12.0577105014191,19.5803825803826
T2P1_20191015_111234,1,7,6.6,3,-6,1,7751,47.5702247087962,13.4039735099338,21.047212047212
T2P1_20191015_111234,1,8,6.6,3,-6,1,8876,48.1181368050429,20.6641438032166,31.6853886853887
T4P1_2_20191015_112106,1,1,6.6,5,-6,1,1001,56.2821072229146,6.36234626300852,11.4485144485144
