microcystin,x16s,mcy_a_m,doc_ppm,ortho_p_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,tp,mcya_16s,HAB_next_week
0,19465141.54,0,3.899,0.065,0.18,16.994,7.7,0.538,0,0
0,4278450.817,0,4.689,0.034,0.282,16.738,7.81,0.057,0,0
0.23,610231.469,0,3.886,0.0401,0.346,16.352,8.13,0.0961,0,0
0.743,5582700.973,0,3.824,0.023,0.365,14.867,8.19,0.018,0,0
0.038,10103848,0,2.248,0.081,0.858,15.754,8.06,0.368,0,0
0.105,2804880.531,0,4.07,0.22,1.178,13.677,8.03,0.419,0,0
0.343,11888871.83,0,3.831,0.05,0.781,13.878,8.19,0.093,0,0
0.085,383472.0216,0,3.865,0.038,0.534,12.925,7.57,0.071,0,0
0,4152121.403,0,1.958,0.046,2.089,15.569,7.57,0.006,0,0
0,2425661.675,0,4.328,0.041,0.2,12.829,8.2,0.196,0,0
0,5709451.03,0,4.198,0.009,0.318,12.559,8.2,0.006,0,0
0,322347.7434,0,4.914,0.0382,0.613,12.748,7.96,0.0512,0,0
0.83,5932539.751,0,5.198,0.022,0.759,12.05,8.1,0.405,0,0
0,18012339.68,0,5.482,0.035,2.212,13.099,8.07,0.488,0,0
0.11,2422437.828,233737.1811,5.454,0.36,1.268,12.089,8.17,0.547,0.096488413,0
1.11,1309742.381,118963.9045,6.175,0.043,1.592,11.873,8.28,0.227,0.090830003,0
1.455,1151816.392,0,3.884,0.184,3.152,11.789,8.31,0.944,0,0
0.845,5649934.437,107730.4375,2.046,0.065,4.134,12.796,8.31,0.15,0.019067555,1
0,6269031.139,0,5.504,0.004,0.242,17.213,8.25,0.119,0,0
0,802830.5234,0,3.488,0.076,0.204,17.938,8.29,0.037,0,0
0.078,4412656.314,0,4.946,0.031,0.051,17.194,8.3,-0.015,0,0
1.505,3089205.995,0,3.421,0.046,0.5,17.848,8.11,0.028,0,0
0,9913856.467,0,5.112,0.011,0.902,17.45,8.32,0.157,0,0
0.007,3287654.251,0,4.972,0.08,1.154,17.155,8.16,0.259,0,0
0.477,2420430.112,0,4.97,0.007,0.947,18.07,8.22,0.079,0,0
0,496034.2409,0,7.903,0.016,1.162,17.608,8.09,0.052,0,0
